Company Name,Logo URL,Website URL,Type,Booth,Country,Company Industry,Sector(s),Region(s),Funding Stage,Business type,Founding Year,Number of Employees,LinkedIn,Instagram,Description
Nine Summits Information Technology Company,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/5b4ef5c9bdfa48168afd538abea58a7e.png.webp?VersionId=eKbCVNaBNFALL6AP1idGj..I3Qu6sY9m&amp;itok=bNnxuZOY,https://www.ninesummitstech.com/,Exhibitor,H3.I30,Saudi Arabia,"Technology, Software and IT Services",,Middle East,No Funding Yet/Bootstrapped,B2B; B2C,2020,21-50,ninesummitstech,ninesummitsofficial,"Nine Summits Information Technology Company is a technology consulting and digital transformation partner specializing in enterprise integration, API management, managed services, cloud modernization, and custom software development. We help enterprises accelerate digital transformation by delivering scalable integration solutions, enterprise applications, automation, and AI-powered innovations. As an SBM Business Partner, we provide implementation, upgrade, migration, and managed services for IBM Integration and Automation technologies across banking, government, retail, healthcare, logistics, and manufacturing."
Nintex UK Limited,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/4abc668426124beeb33bb53e6fd7e6fa.png.webp?VersionId=N5b.03RoI11doCIiUNiB159G.wnx0CyI&amp;itok=-qRrOE8t,https://www.nintex.com/,Exhibitor,H2.O40,United Kingdom,"Consulting and Advisory; Technology, Software and IT Services","AI & Deep Tech; Aviation and Automotive; Biotech, Health & Life Sciences; Cybersecurity, Aerospace and Defence; Education, Research & Talent; Financial Services and Fintech; Government & Public Sector; Manfacturing and Logistics; Technology & Telecommunications",MENA,,B2B,,500+,nintex,,"Nintex is a global leader in AI-powered process automation and agentic business orchestration, helping organisations transform manual processes into intelligent, governed workflows.At LEAP 2026, Nintex will showcase how organisations can move beyond AI experimentation to deliver secure, scalable business outcomes. Powered by Nintex K2, organisations can embed AI into mission-critical workflows while maintaining governance, compliance, and operational control, whether deployed on-premises or in the cloud.Purpose-built for regulated industries such as government, financial services, and healthcare, Nintex K2 enables enterprises to modernise legacy processes, accelerate digital transformation, and realise measurable value from AI.Visit the Nintex stand to experience live demonstrations and discover how governed AI and intelligent automation are helping organisations accelerate their transformation with confidence."
Nisa Care Arabia,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/93676425df784d50a62825a3a2361e9f.jpeg.webp?VersionId=rdg2N7M0PCW5SS9arVRFSv5nP7uRzTS8&amp;itok=TVE0HilI,https://nisa.cl,,,,,,,,,,,,,
Noah,,https://noahmed.com,,,,,,,,,,,,,
Noawin Telecommunications and Information Technology Company,,https://norwintechnologies.com,,,,,,,,,,,,,
Node Technologies Company,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/af07a2f3fb7d44338fcd0237ae97bb1e.jpeg.webp?VersionId=fBzQFTxzC1pAdMDUM4ZDhw3spPg5g2lO&amp;itok=5lgLbfNI,https://nodetech.com.sa,Exhibitor,H2.K30,Saudi Arabia,"Technology, Software and IT Services",,MENA,,B2B; B2G,2012,100-250,nodetech-sa,,"Node Technologies is a Saudi technology and consulting company driving digital transformation by delivering innovative, integrated, and secure solutions that help government entities and enterprises turn their visions into measurable impact."
Nojom Al-Dhakia for Information Technology,,https://nojom.com,,,,,,,,,,,,,
Nojoom.AI,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/c9d2c062e326418c83cd0af1d61a8f81.png.webp?VersionId=6uGBRPEBf0915KxoMCzRxPkTUra2q3B2&amp;itok=L_3VLNZ9,https://nojoom.ai,,,,,,,,,,,,,
Nokia Arabia Limited,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/9cd9f25ebd604471b9555ed7587004d5.png.webp?VersionId=yFUf8MUYT7mzfVVFj2Fa8_4s4HFU8hOq&amp;itok=x5XAJCgM,https://www.nokia.com/,Exhibitor,H1.K50,Saudi Arabia,"Technology, Software and IT Services; Telecommunications",,Africa; MENA; Middle East,,B2B2C,,500+,nokia,nokia,"At Nokia, we create technology that helps the world act together. As a B2B technology innovation leader, we are pioneering networks that sense, think and act by leveraging our work across mobile, fixed and cloud networks. In addition, we create value with intellectual property and long-term research, led by the award-winning Nokia Bell Labs, which is celebrating 100 years of innovation. With truly open architectures that seamlessly integrate into any ecosystem, our high-performance networks create new opportunities for monetization and scale. Service providers, enterprises and partners worldwide trust Nokia to deliver secure, reliable and sustainable networks today – and work with us to create the digital services and applications of the future."
Nommas.ai,,https://nommas.ai,,,,,,,,,,,,,
Nourah Cloud,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/6bca202a115d4f338a6b304dd1d6acb0.jpeg.webp?VersionId=IzJPJP86QkCVtACR84UIBWIjqmLYC_1_&amp;itok=WiwOrs3Z,https://cloud.ru,Exhibitor,H1A.C50,Saudi Arabia,"Consulting and Advisory; Education, Academia and Research; Healthcare, Pharma and Life Sciences; Investment and VC; Technology, Software and IT Services",,MENA,,B2G,2025,51-99,,,The sovrign cloud provider and multi-cloud operator orginated from Princess Nourah University DC
Nourah Information Technology Company (NITC),https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/509e7cefa453416090874be0f1a56807.png.webp?VersionId=F6ox3lgt4WIUAlYiH.kS5ZGd5QONYpCQ&amp;itok=vxAam5d9,,Exhibitor,H4.C40,Saudi Arabia,"Technology, Software and IT Services",Technology & Telecommunications,,,,,,,,"Information Technology & SolutionsEstablished in 2021,Nora Technology is an innovative tech company committed to fostering womens participation in the technology industry and promoting diversity and inclusion in this dynamic sector.Nora Technology offers a range of cutting-edge and interactive technology products and services.Led by a team of visionary women,Nora Technology embraces a diverse set of core principles.As a pioneer in its field, the company has established the Nora Leadership Platform, the first of its kind in Saudi Arabia.This platform reflects a positive shift in the technology industry and contributes to building a more inclusive and technologically advanced future"
Nournet,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/797fc6d75e484a3eb44c9816caa39a12.png.webp?VersionId=EsNgu4ls3obnuftF0Mn_IOPZuQDvMJb4&amp;itok=79va0FzN,https://nournet.com.sa,Exhibitor,H2.L10,Saudi Arabia,,,MENA,,,,,,,"We are proud to be KSA’s leading digital transformation enabler offering the market with disrupting digital services, driving and empowering our clients across the Kingdom to meet Vision 2030 goals.Today, we are serving over 1,500 corporate clients from various sectors with diverse range of well-rounded digital services from cloud, data center colocation, connectivity, cyber security to collaboration. In addition, we recently expanded our digital services to cover Emerging Technologies that feature both Artificial Intelligence and Data Analytics services.We take on a carrier-neutral, vendor-agnostic, and client-centric approach, managing 3 carrier-neutral data centers across the Kingdom. Our triple-tier data center is the first carrier-neutral data center in Saudi Arabia, with the size of 4,500 sqm that hosts thousands of public and private sector clients and has the capacity of 450 racks, its robust infrastructure makes it one of the most scalable, reliable, and adaptable data centers in Saudi Arabia.NourNet offers a holistic, seamless, and secure approach to further innovation at any stage of our clients' digital journey, across multiple digital estates, from on-premises to private and public clouds. Our Hybrid Multi-Cloud Service model allow us to tailor to your needs by running workloads regardless of their nature in the most cost-effective and flexible manner."
Novent,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/b09fe49fc58f445ca3616ac43672e775.jpeg.webp?VersionId=mjNY4HwccYbxjW9bBxVQvKzCco4AGkAx&amp;itok=_zP8W_rq,https://noventi.de,,,,,,,,,,,,,
Noventiq,,https://noventiq.com,Exhibitor,H1.E30,,,,,,,,,,,
nsave,,https://nsave.com,Exhibitor,H3.G190,,,,,,,,,,,
NTG CLARITY NETWORKS Inc.,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/7d67316b5ec140149943877d444072fc.png.webp?VersionId=hBMNLO8ZsdwxeWcy3WLw5VbG_d2JENso&amp;itok=e7d4FiuL,https://ntgclarity.com/,Exhibitor,H3.B161,Canada,"Consulting and Advisory; Technology, Software and IT Services",Manfacturing and Logistics; Smart Living & Consumer Technology; Technology & Telecommunications,Africa; Asia; Europe; MENA; North America,,B2B; B2G,1992,500+,ntg-clarity,,"NTG is an AI-first, enterprise-proven technology company founded in 1992, with more than 1,500 professionals and over 20 proprietary platforms.NTG operates internationally through offices in Canada, Egypt and Oman, with its Saudi presence centred in Riyadh and nearshore delivery offices in Jeddah, Madinah and Al Qassim. These regional and nearshore teams provide customers with local collaboration, scalable delivery capacity, knowledge retention and access to experienced technology professionals.NTG delivers staff augmentation, managed services, ODC and nearshore delivery, Next Gen Squads and full-scope technology solutions. Our featured LEAP offerings are AURA by NTG, TestFlair and TAB — The Agent Builder. Meet our team at booth H3.B161."
NTT DATA,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/b9632b58e6e547d9ae1d3a342813e5d5.png.webp?VersionId=EdMsxun.64mNeJGh592Nt5LO51lj9Tt6&amp;itok=5UEo9rg8,https://services.global.ntt/en-us/,Exhibitor,H1.C60,Saudi Arabia,"Consulting and Advisory; Technology, Software and IT Services",,Africa; Asia; Europe; LATAM; MENA; North America; South America; UK and Ireland; Middle East,,,,,ntt-data-mea,reels,"NTT DATA is a $30+ billion business and technology services leader, serving 75% of the Fortune Global 100. We accelerate client success and positively impact society through responsible innovation. As one of the world’s leading AI and digital infrastructure providers, our capabilities include enterprise-scale AI, cloud, security, connectivity, data centers and application services. Our consulting and industry solutions help organizations and society move confidently and sustainably into the digital future. As a Global Top Employer, we have experts in more than 70 countries. NTT DATA is part of NTT Group, which invests over $3 billion each year in R&D."
Nucleon Security,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/c69d3a4950404c1db2dc7f5b13e94322.png.webp?VersionId=XohoDw6aYlx0k7q4Zdx0n36DDcwMVejn&amp;itok=d3vSVmW-,https://nucleon-security.com,,,,,,,,,,,,,
Nuelink,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/dbf7ce1d23ab48f1a32fa03a89f08c94.png.webp?VersionId=ubcaQLmui8ivtM1rBQ680DmPOL96yfZP&amp;itok=F-insMaj,https://nuelink.com,,,,,,,,,,,,,
Nuhieh,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/16e8f505bc1449d5bc90e50e4a3ed38f.jpeg.webp?VersionId=cplAylQmzolNOshZdQTR9bideg6FOTfM&amp;itok=CaaxN2eZ,https://nuhieh.com,,,,,,,,,,,,,
NUMU,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/52e15087d5824a4b9af043cb2839b835.png.webp?VersionId=90Isa4sQmBMoADNJgCWgYdlN9_4MVa7v&amp;itok=0IF9N_-f,https://numulosgatos.org,,,,,,,,,,,,,
Nutanix,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/ab985dc106a940eb9cecf7d2639c7d22.png.webp?VersionId=q0MdAK4JMfX0UXtM7XJP1P7zJqoCMeO2&amp;itok=CHBH4_1m,Nutanix.com,Exhibitor,H2.O30,Saudi Arabia,"Technology, Software and IT Services",Technology & Telecommunications,MENA,,B2B; B2B2C,,,nutanix,,
NVIDIA,,https://nvidia.com,Exhibitor,H1.L40,,,,,,,,,,,
Objects,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/9ce5a576a8b749ddbbb6b17c6890b7fe.png.webp?VersionId=Z41RifrxFROZ3RDeC6XZsbj843PIcFyb&amp;itok=_y4afan3,https://objects.ws/,Exhibitor,H3.E182,Egypt,"Technology, Software and IT Services",,Africa; Europe; LATAM; MENA; North America; Oceania; South America; UK and Ireland; Middle East,No Funding Yet/Bootstrapped,B2B; B2C; B2B2C,2011,250-500,objects,objects.official,"Objects is a technology and software development company helping businesses build scalable digital solutions across AI & ML, cloud, enterprise software, web and mobile applications, and digital transformation. We combine deep technical expertise with a practical, business-focused approach to turn complex challenges into impactful digital products."
Objects AI,https://file.onegiantleap.com/files/swapcardmigration/exhibitors/86450a914deb47b3a50984ff756401e4.svg?VersionId=UVFzXC0FUOpqQO5wyq_jio4EsXTjQnSE,https://objects.ws,,,,,,,,,,,,,
Ocean Ecostructures,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/c9d2c062e326418c83cd0af1d61a8f81.png.webp?VersionId=6uGBRPEBf0915KxoMCzRxPkTUra2q3B2&amp;itok=L_3VLNZ9,https://www.oceanecostructures.com,Exhibitor,H1A.E50,Spain,"Energy, Utilities & Natural Resources; Other; Technology, Software and IT Services",,Europe; MENA; North America,Series A,B2B,2020,11-20,71999677,,"Bluetech startup providing solutions to offset the impact of marine infrastructures, while generating tangible value to our customers. We turn grey spaces into blue oases.We build biomimetic engineered habitats to renaturalize marine infrastructures, turning ports, oil rigs, seawalls or subsea cables into thriving underwater ecosystemsWith our unique AI powered ROV based Monitoring & Reporting Technology, we show robust evidence of results, translating environmental benefits into tangible & monetary benefits Data driven Multi-technological solution, already implemented in over 40 leading companiesA Technology contributing to VISION 2030 and SGI goals, aligning growth and sustainabilityTurning marine infrastructures into ocean allies."
